anime_id,genres
1172,Comedy
1172,Fantasy
202,Action
202,Adventure
202,Drama
202,Fantasy
202,Mystery
202,Sci-Fi
21185,Sports
1472,Action
1472,Comedy
1472,Mystery
12413,Action
12413,Adventure
42670,Adventure
42670,Comedy
42670,Fantasy
42670,Gourmet
34451,Action
34451,Fantasy
97,Action
97,Adventure
97,Sci-Fi
51297,Action
51297,Fantasy
397,Action
397,Romance
397,Sci-Fi
43439,Fantasy
43439,Mystery
45055,Comedy
45055,Drama
45055,Romance
22319,Action
22319,Fantasy
22319,Horror
40935,Drama
1491,Adventure
1491,Drama
1491,Sci-Fi
283,Drama
966,Comedy
966,Ecchi
41461,Action
41461,Romance
41461,Sci-Fi
29787,Slice of Life
49738,Drama
20431,Comedy
20431,Fantasy
3545,Comedy
48849,Award Winning
48849,Mystery
80,Action
80,Drama
80,Sci-Fi
49776,Slice of Life
1425,Action
1425,Adventure
1425,Comedy
1425,Mystery
19111,Award Winning
19111,Slice of Life
13203,Action
13203,Adventure
13203,Award Winning
13203,Comedy
13203,Ecchi
7588,Drama
552,Action
552,Adventure
552,Comedy
552,Fantasy
31433,Drama
31433,Sci-Fi
21877,Comedy
26,Action
26,Drama
26,Sci-Fi
95,Action
95,Adventure
95,Award Winning
95,Drama
95,Romance
95,Sci-Fi
3750,Drama
3750,Girls Love
35073,Action
35073,Adventure
35073,Fantasy
210,Action
210,Comedy
210,Fantasy
30727,Comedy
30727,Romance
30727,Ecchi
30123,Drama
30123,Fantasy
30123,Romance
31733,Fantasy
31733,Romance
1571,Horror
1571,Mystery
1571,Supernatural
29095,Drama
29095,Romance
28999,Drama
1473,Action
1473,Comedy
1473,Mystery
2508,Comedy
5630,Award Winning
5630,Mystery
5630,Romance
5630,Sci-Fi
5630,Suspense
32673,Slice of Life
32673,Supernatural
39196,Comedy
39196,Fantasy
353,Comedy
353,Fantasy
1254,Action
1254,Adventure
1254,Fantasy
1254,Sci-Fi
154,Action
154,Adventure
154,Supernatural
93,Action
93,Award Winning
93,Drama
93,Romance
93,Sci-Fi
11887,Drama
11887,Romance
11887,Supernatural
4080,Adventure
4080,Comedy
4080,Fantasy
1887,Comedy
52955,Drama
52955,Fantasy
52955,Romance
709,Action
709,Adventure
709,Fantasy
709,Sci-Fi
709,Slice of Life
39940,Gourmet
39940,Ecchi
1818,Action
1818,Adventure
1818,Fantasy
40906,Action
40906,Adventure
40906,Fantasy
1281,Horror
1281,Mystery
1281,Supernatural
17895,Drama
17895,Romance
15809,Comedy
15809,Fantasy
43691,Drama
1279,Adventure
1279,Sci-Fi
5005,Comedy
1293,Action
1293,Adventure
1293,Comedy
1293,Drama
1293,Romance
1293,Sci-Fi
407,Comedy
407,Drama
407,Mystery
18153,Action
18153,Fantasy
8795,Action
8795,Comedy
8795,Supernatural
8795,Ecchi
31592,Action
31592,Adventure
31592,Comedy
31592,Fantasy
7724,Horror
7724,Mystery
7724,Supernatural
534,Action
534,Adventure
534,Comedy
534,Fantasy
37924,Comedy
530,Fantasy
530,Romance
38145,Slice of Life
6033,Action
6033,Adventure
6033,Comedy
6033,Fantasy
47164,Action
47164,Adventure
47164,Fantasy
19319,Action
19319,Sci-Fi
740,Fantasy
740,Romance
31637,Action
31637,Adventure
31637,Fantasy
47160,Action
47160,Adventure
47160,Fantasy
10357,Adventure
10357,Comedy
10357,Fantasy
8311,Adventure
8311,Fantasy
50273,Suspense
479,Action
479,Adventure
479,Supernatural
1562,Comedy
50203,Slice of Life
24893,Action
24893,Sci-Fi
19703,Action
19703,Fantasy
9074,Comedy
9074,Romance
6024,Comedy
