anime_id,theme
21327,School
53621,Romantic Subtext
53621,School
567,Mecha
567,Psychological
8937,Super Power
10033,
177,
40590,
691,Combat Sports
1563,Isekai
1563,Mahou Shoujo
1563,Mecha
23135,Idols (Female)
23135,Music
23135,School
6347,Love Polygon
6347,School
43756,Performing Arts
50248,
1251,Historical
14131,Military
14131,School
4039,Adult Cast
41694,Anthropomorphic
41694,Educational
41694,Medical
37497,Love Polygon
37497,School
37497,Time Travel
37497,Visual Arts
103,Mahou Shoujo
4981,Psychological
20031,School
20031,Strategy Game
8086,
31376,Iyashikei
2026,Harem
2026,Parody
2405,
2002,Mecha
2002,Military
2002,Space
914,Gag Humor
914,School
10216,Gag Humor
10216,Mythology
37976,Idols (Female)
37976,Music
37976,Parody
53879,Adult Cast
53879,Detective
50590,Historical
50590,Mythology
5274,Gag Humor
5274,School
1212,Mecha
1212,Racing
10588,School
10588,Super Power
34134,Adult Cast
34134,Parody
34134,Super Power
6634,Historical
6634,Martial Arts
6634,Samurai
6634,Super Power
6773,Mahou Shoujo
6773,School
2562,Strategy Game
46093,Workplace
52308,Isekai
52308,Reincarnation
218,Mecha
218,Military
218,Parody
218,Space
38804,Idols (Female)
38804,Music
40879,Idols (Female)
40879,Music
40879,School
5249,
50663,Gag Humor
50663,Parody
31821,Historical
31821,Military
54743,Reincarnation
31706,Mahou Shoujo
23269,CGDCT
23269,School
50197,Romantic Subtext
50197,School
3470,School
52736,Isekai
52736,Reincarnation
1642,Mahou Shoujo
34984,Workplace
51958,
10790,Harem
10790,Vampire
35241,Anthropomorphic
35241,CGDCT
35241,Iyashikei
35241,Mythology
35241,Workplace
12487,
26243,Military
26243,Vampire
38659,Isekai
38659,Parody
857,Delinquents
857,School
9919,Mythology
9919,School
1050,Gag Humor
3213,Combat Sports
21273,CGDCT
21273,Iyashikei
21273,Workplace
551,Combat Sports
551,Gore
270,Adult Cast
270,Gore
270,Vampire
379,Adult Cast
379,Gag Humor
379,Parody
3092,
12291,Gag Humor
12291,School
15061,Idols (Female)
15061,Music
15061,School
35015,School
11111,Gore
11111,School
21743,Historical
226,Gore
226,Psychological
17729,Harem
17729,Psychological
17729,School
15451,Harem
15451,Mythology
15451,School
37614,CGDCT
37614,School
40540,Video Game
2608,Racing
481,Strategy Game
29,Adult Cast
29,Historical
29,Military
29,Time Travel
10568,
2227,Historical
22693,Anthropomorphic
22693,Mahou Shoujo
13655,School
40504,Team Sports
23277,Harem
23277,Otaku Culture
23277,School
37426,Anthropomorphic
142,Mahou Shoujo
142,Mythology
142,Reincarnation
727,
35828,Mythology
35828,Pets
35828,School
36522,
38555,Isekai
38555,Reincarnation
38555,Reverse Harem
38555,School
10378,Anthropomorphic
22199,Gore
22199,Super Power
587,
39049,CGDCT
39049,Gag Humor
39049,Mythology
14227,School
53833,Isekai
53833,School
16005,Super Power
5712,
2820,
1459,Mecha
1459,Military
1459,Space
1651,Adult Cast
1651,Military
1651,Space
3317,
18497,Super Power
435,Isekai
435,Mahou Shoujo
435,Mecha
352,Mahou Shoujo
351,Childcare
351,Mahou Shoujo
34262,Historical
53876,
5671,School
5671,Strategy Game
3420,Psychological
15793,Idols (Female)
15793,Music
51215,Isekai
51215,Medical
22147,Workplace
1069,Mecha
48542,CGDCT
48542,School
40454,
287,Combat Sports
287,Gore
2987,Mecha
2987,Space
